ProductCode	ProductName	Price	Quantity
412150602	BOLD COMP BACKPACK BLUE	47	50
412150605	BOLD COMP BACKPACK GRAY	47	50
412150606	BOLD COMP BACKPACK OLIVE	47	50
412152202	BOLD 22IN EXP RLBRD BLUE	70.5	50
412152205	BOLD 22IN EXP RLBRD GRAY	70.5	50
412152206	BOLD 22IN EXP RLBRD OLIVE	70.5	50
412152502	BOLD 25IN EXP RLBRD BLUE	79.9	50
412152505	BOLD 25IN EXP RLBRD GRAY	79.9	50
412152506	BOLD 25IN EXP RLBRD OLIVE	79.9	50
412152802	BOLD 28IN EXP RLBRD BLUE	89.3	50
412152805	BOLD 28IN EXP RLBRD GRAY	89.3	50
412152806	BOLD 28IN EXP RLBRD OLIVE	89.3	50
412153002	BOLD 30IN DRP BTM DUF BLUE	94	50
412153005	BOLD 30IN DRP BTM DUF GRAY	94	50
412153006	BOLD 30IN DRP BTM DUF OLV	94	50
412156102	BOLD 21IN EXP SPNR BLUE	79.9	50
412156105	BOLD 21IN EXP SPNR GRAY	79.9	50
412156602	BOLD 26IN EXP SPNR BLUE	94	50
412156605	BOLD 26IN EXP SPNR GRAY	94	50
407160301	CREW 11 DELUXE TOTE BLACK	47	50
407160301L	CREW 11 DELUXE TOTE BLACK	26.88	0
407160365	CREW 11 DELUXE TOTE INDIGO	47	0
407160365L	CREW 11 DELUXE TOTE INDIGO	26.88	0
407160401	CREW11 BIFOLD GARMENT BAG BLK	84.6	50
407160401L	CREW11 BIFOLD GARMENT BAG BLK	46.91	0
407160465L	CREW11 BIFOLD GARMENT BAG INDI	46.91	0
407161301	CREW11 ROLLING TOTE BLACK	84.6	50
407161301L	CREW11 ROLLING TOTE BLACK	51.37	0
407161302	CREW11 ROLLING TOTE PATRIOT BL	84.6	50
407161322	CREW11 ROLLING TOTE NAVY	84.6	50
407161365	CREW11 ROLLING TOTE INDIGO	84.6	50
407161365L	CREW11 ROLLING TOTE INDIGO	51.37	0
407162001	CREW11 20IN BUS PLUS RB BLACK	103.4	50
407162001L	CREW11 20IN BUS PLUS RB BLACK	70.51	0
407162201	CREW11 22IN EXP RLBRD SUITR BK	103.4	50
407162201L	CREW11 22IN EXP RLBRD SUITR BK	64.88	0
407162202	CREW11 22IN EXP RB SUITR P BLU	103.4	50
407162204	CREW11 22IN EXP RB SUITR M BRW	103.4	50
407162222	CREW11 22IN EXP RLBRD SUITR NA	103.4	50
407162265	CREW11 22IN EXP RLBRD SUITR IN	103.4	50
407162265L	CREW11 22INEXP RLBRD SUITR IND	64.88	0
407162601	CREW11 26IN EXP RLBRD SUITR BK	126.9	50
407162601L	CREW11 26IN EXP RLBRD SUITR BK	75.54	0
407162665	CREW11 26IN EXP RLBRD SUITR IN	126.9	50
407162665L	CREW11 26INEXP RLBRD SUITR IND	75.54	0
407164001	CREW11 ROL GRM BAG CARRY ON BK	141	50
407164001L	CREW11 ROL GRM BAG CARRY ON BK	79.77	0
407164065	CREW11 ROL GRM BAG CARRY ON IN	141	50
407164065L	CREW11 ROL GRMBAG CARRY ON IND	79.77	0
407164301	CREW11 INTL C.O RLBD BLACK	94	50
407164301L	CREW11 INTL C.O RLBD BLACK	60.97	0
407164365L	CREW11 INTL C.O RLBD INDIGO	60.97	0
407165101	CREW11 50IN GARMENT BAG BLK	164.5	50
407165101L	CREW11 50IN GARMENT BAG BLK	99.82	0
407165301	CREW11 SPINNER TOTE BLACK	94	50
407165301L	CREW11 SPINNER TOTE BLACK	63.43	0
407165365	CREW11 SPINNER TOTE INDIGO	94	50
407165365L	CREW11 SPINNER TOTE INDIGO	63.43	0
407166001	CREW11 INTL CARRYON SPR BLK	108.1	50
407166001L	CREW11 INTL CARRYON SPR BLK	75	0
407166065	CREW11 INTL CARRYON SPR INDIGO	108.1	0
407166065L	CREW11 INTL CARRYON SPR INDIGO	75	0
407166101	CREW11 21IN EXP SPINNER BLK	108.1	50
407166101L	CREW11 21IN EXP SPINNER BLK	78.43	0
407166102	CREW11 21IN EXP SPN PATRIOT BL	108.1	50
407166104	CREW11 21IN EXP SPNR M BROWN	108.1	50
407166122	CREW11 21IN EXP SPINNER NAVY	108.1	50
407166165	CREW11 21IN EXP SPINNER INDIGO	108.1	50
407166165L	CREW11 21IN EXP SPINNER INDIGO	78.43	0
407166501	CREW11 25IN EXP SPINNER BLK	126.9	50
407166501L	CREW11 25IN EXP SPINNER BLK	85.32	0
407166502	CREW11 25IN EXP SPN PATRIOT BL	126.9	50
407166504	CREW11 25IN EXP SPNR M BROWN	126.9	50
407166522	CREW11 25IN EXP SPINNER NAVY	126.9	50
407166565	CREW11 25IN EXP SPINNER INDIGO	126.9	50
407166565L	CREW11 25IN EXP SPINNER INDIGO	85.32	0
407166701	CREW11 INTL CARRYON SPR BLK	108.1	50
407166701L	CREW11 INTL CARRYON SPR BLK	75	0
407166765L	CREW11 INTL CARRYON SPR INDIGO	75	0
407166901	CREW11 29IN EXP SPINNER BLK	141	50
407166901L	CREW11 29IN EXP SPINNER BLK	96.57	0
407166902	CREW11 29IN EXP SPNR PATRIOT B	141	50
407166922	CREW11 29IN EXP SPINNER NAVY	141	50
407166965	CREW11 29IN EXP SPINNER INDIGO	141	50
407166965L	CREW11 29IN EXP SPINNER INDIGO	96.57	0
407167001	CREW11 SLIM BODY RLBD BLK	94	0
407167001L	CREW11 SLIM BODY RLBD BLK	61.45	0
407167065	CREW11 SLIM BODY RLBD INDIGO	94	0
407167065L	CREW11 SLIM BODY RLBD INDIGO	61.45	0
407168901	C11 CARRYON SMT DUFFLE BLK	94	50
407168902	C11 CARRYON SMT DFLE PAT BLUE	94	50
407168904	C11 CARRYON SMT DFLE MBRWN	94	50
407169101	C11 21IN HS SPIN OBSIDIAN BLK	108.1	50
407169105	C11 21IN HS SPIN CARBON GREY	108.1	0
407169122	C11 21IN HARDSIDE SPIN NAVY	108.1	50
407169142	C11 21IN HARDSIDE SPIN SILVER	108.1	50
4071691B01	C11 21IN HS SPIN OB BLK LNG BL	108.1	50
4071691L22	C11 21IN HARDSIDE SPIN NAVY	70.28	0
4071691L42	C11 21IN HARDSIDE SPIN SILVER	70.28	0
407169201	C11 22IN HS RLBD OBSIDIAN BLK	DIS	50
407169205	C11 22IN HS RLBD CARBON GREY	103.4	0
407169222	C11 22IN HARDSIDE RLBD NAVY	103.4	0
407169242	C11 22IN HARDSIDE RLBD SILVER	103.4	0
4071692B01	C11 22IN HS RLBD OB BLK LNG BL	103.4	50
4071692L22	C11 22IN HARDSIDE RLBD NAVY	70.28	0
4071692L42	C11 22IN HARDSIDE RLBD SILVER	70.28	0
407169501	C11 25IN  HS SPIN OBSIDIAN BLK	126.9	50
407169505	C11 25IN  HS SPIN CARBON GREY	126.9	0
407169522	C11 25IN  HARDSIDE SPIN NAVY	126.9	0
407169542	C11 25IN  HARDSIDE SPIN SILVER	126.9	50
4071695B01	C11 25IN HS SPIN OB BLK LNG BL	126.9	50
4071695L22	C11 25IN  HARDSIDE SPIN NAVY	78.92	0
4071695L42	C11 25IN  HARDSIDE SPIN SILVER	78.92	0
407169922	C11 29IN HARDSIDE SPIN NAVY	141	0
407169942	C11 29IN HARDSIDE SPIN SILVER	141	50
4071699L22	C11 29IN HARDSIDE SPIN NAVY	86.54	0
4071699L42	C11 29IN HARDSIDE SPIN SILVER	86.54	0
405160501	EXEC CH2 15.6 CPF SLIM BRF BLK	84.6	0
405160601	EXEC CH2 17IN CPF COMP BP BLK	94	50
405161301	EXEC CH2 17IN WHEELED BRIEF BK	122.2	50
405164101	EXEC CH2 PILOT BRIEF BLK	94	50
401150301	MAXLTE 4 SOFT TOTE BLACK	32.9	0
401150301L	MAXLTE 4 SOFT TOTE BLACK	19.15	0
401150302	MAXLTE 4 SOFT TOTE BLUE	32.9	50
401150302L	MAXLTE 4 SOFT TOTE BLUE	19.15	0
401150332	MAXLTE 4 SOFT TOTE PURPLE	32.9	0
401150332L	MAXLTE 4 SOFT TOTE PURPLE	19.15	0
401150401	MAXLTE 4 BIFOLD GARM SLVE BLK	47	0
401150401L	MAXLTE 4 BIFOLD GARM SLVE BLK	31.28	0
401150402	MAXLTE 4 BIFOLD GARM SLVE BLUE	47	0
401150402L	MAXLTE 4 BIFOLD GARM SLVE BLUE	31.28	0
401150432	MAXLTE 4 BIFOLD GARM SLVE PURP	47	0
401150432L	MAXLTE 4 BIFOLD GARM SLVE PURP	31.28	0
401151001	MAXLTE 4 BIFOLD HANG GARM BLK	47	50
401151001L	MAXLTE 4 BIFOLD HANG GARM BLK	99.99	0
401151301	MAXLTE 4 ROLLING TOTE BLACK	47	50
401151301L	MAXLTE 4 ROLLING TOTE BLACK	30.49	50
401151302	MAXLTE 4 ROLLING TOTE BLUE	47	50
401151302L	MAXLTE 4 ROLLING TOTE BLUE	30.49	50
401151308	MAXLTE 4 ROLLING TOTE RED	47	0
401151332	MAXLTE 4 ROLLING TOTE PURPLE	47	50
401151332L	MAXLTE 4 ROLLING TOTE PURPLE	30.49	0
4011518L01	MAXLTE 4 INTL CARRY-ON SPNR BK	44.37	0
401152001	ML4 INTL EXP CARRY-ON RLBD BK	56.4	0
401152001L	ML4 INTL EXP CARRY-ON RLBD BK	36.2	0
401152002	ML4 INTL EXP CARRY-ON RLBD BLU	56.4	0
401152002L	ML4 INTL EXP CARRY-ON RLBD BLU	36.2	0
401152032	ML4 INTL EXP CARRY-ON RLBD PUR	56.4	0
401152032L	ML4 INTL EXP CARRY-ON RLBD PUR	36.2	0
401152201	MAXLTE 4 22IN EXP RLLBRD BLK	61.1	50
401152201L	MAXLTE 4 22IN EXP RLLBRD BLK	35.63	0
401152202	MAXLTE 4 22IN EXP RLLBRD BLUE	61.1	50
401152202L	MAXLTE 4 22IN EXP RLLBRD BLUE	35.63	0
401152204	MAXLTE 4 22IN EXP RLLBRD BROWN	61.1	0
401152205	MAXLTE 4 22IN EXP RLLBRD GREY	61.1	0
401152206	ML 4 22IN EXP RLLBRD SLT GRN	61.1	0
401152207	MAXLTE 4 22IN EXP RLLBRD PINK	61.1	0
401152208	MAXLTE 4 22IN EXP RLLBRD RED	61.1	0
401152232	MAXLTE 4 22IN EXP RLLBRD PURPL	61.1	50
401152232L	MAXLTE 4 22IN EXP RLLBRD PURPL	35.63	0
401152242	ML4 22IN EXP RLBRD SHADOW GREY	61.1	0
401152601	MAXLTE 4 26 EXP RLLBRD BLK	75.2	50
401152601L	MAXLTE 4 26 EXP RLLBRD BLK	43.48	0
401152602	MAXLTE 4 26 EXP RLLBRD BLUE	75.2	0
401152602L	MAXLTE 4 26 EXP RLLBRD BLUE	43.48	0
401152632	MAXLTE 4 26 EXP RLLBRD PURPLE	75.2	0
401152632L	MAXLTE 4 26 EXP RLLBRD PURPLE	43.48	0
401152A01	MAXLTE 4 2PC 29/21 SPNR BLACK	150.4	0
401152A02	MAXLTE 4 2PC 29/21 SPNR BLUE	150.4	0
401152A06	MAXLTE4 2PC 21/29 SPNR S.GREEN	150.4	0
401152D01	ML4 2PC 25/21 SPNR BLACK	141	0
401152D02	ML4 2PC 25/21 SPNR BLUE	141	0
401152D06	MAXLTE4 2PC 21/25 SPNR S.GREEN	141	0
401152D08	MAXLTE4 2PC 21/25 SPNR RED	141	0
401152D32	ML4 2PC 25/21 SPNR PURPLE	141	0
401152E02	ML4 2PC SET 26/22 RB BLUE	136.3	50
401153A01	ML4 3PC 29/25/21 SPNR BLACK	225.6	50
401153A02	ML4 3PC 29/25/21 SPNR BLUE	225.6	0
401153A06	ML4 3PC 29/25/21 SPNR S.GREEN	225.6	0
401153A08	ML4 3PC 29/25/21 SPNR RED	225.6	0
401153A32	ML4 3PC 29/25/21 SPNR PURPLE	225.6	50
401154001	ML4 CARRY-ON GARM BAG BLACK	89.3	0
401154001L	ML4 CARRY-ON GARM BAG BLACK	55.08	0
401154002	ML4 CARRY-ON GARM BAG BLUE	89.3	0
401154002L	ML4 CARRY-ON GARM BAG BLUE	55.08	0
401154032	ML4 CARRY-ON GARM BAG PURPLE	89.3	0
401154032L	ML4 CARRY-ON GARM BAG PURPLE	55.08	0
4011543L01	MAXLTE 4 INTL CARRY-ON RB BK	36.22	0
4011543L02	MAXLTE 4 55CM CARRY-ON RB BL	36.22	0
401155401L	MAXLTE 4 31IN EXP SPINNER BLK	DIS	0
401155402L	MAXLTE 4 31IN EXP SPINNER BLUE	53.79	0
401156001	MAXLTE 4 INTL CARRY-ON SPNR BK	61.1	0
401156001L	MAXLTE 4 INTL CARRY-ON SPNR BK	42.83	0
401156002	MAXLTE 4 INTL CARRY-ON SPNR BL	61.1	0
401156002L	MAXLTE 4 INTL CARRY-ON SPNR BL	42.83	0
401156004	MAXLTE 4 INTL C/O SPNR BROWN	56.4	0
401156005	MAXLTE 4 INTL CARRY-ON SPNR GR	56.4	0
401156007	MAXLTE 4 INTL C/O SPINNER PINK	56.4	0
401156008	MAXLTE 4 INTL CARRYON SPNR RED	56.4	0
401156032	MAXLTE 4 INTL CARRY-ON SPNR PU	61.1	0
401156032L	MAXLTE 4 INTL CARRY-ON SPNR PU	42.83	0
401156101	MAXLTE 4 21IN EXP SPINNER BLK	65.8	0
401156101L	MAXLTE 4 21IN EXP SPINNER BLK	43.78	0
401156102	MAXLTE 4 21IN EXP SPINNER BLUE	65.8	50
401156102L	MAXLTE 4 21IN EXP SPINNER BLUE	43.78	0
401156104	MAXLTE4 21IN EXP SPINNER BROWN	65.8	0
401156105	MAXLTE 4 21IN EXP SPINNER GREY	65.8	0
401156106	ML 4 21IN EXP SPINNER SLT GRN	65.8	0
401156107	MAXLTE 4 21IN EXP SPINNER PINK	65.8	0
401156108	MAXLTE 4 21IN EXP SPINNER RED	65.8	0
401156128	MAXLTE 4 21IN EXP SPINNER MGT	65.8	0
401156132	MAXLTE 4 21IN EXP SPINNER PURP	65.8	50
401156132L	MAXLTE 4 21IN EXP SPINNER PURP	43.78	0
401156301	M4 ROLL UNDERSEAT CARRYON BLK	56.4	0
401156302	M4 ROLL UNDERSEAT CARRYON BLUE	56.4	0
401156306	M4 ROL UNDRST CARRYON SL GREEN	56.4	0
401156328	M4 ROLL UNDERSEAT CARRYON MGT	56.4	50
401156501	MAXLTE 4 25IN EXP SPINNER BLK	75.2	50
401156501L	MAXLTE 4 25IN EXP SPINNER BLK	49.49	0
401156502	MAXLTE 4 25IN EXP SPINNER BLUE	75.2	0
401156502L	MAXLTE 4 25IN EXP SPINNER BLUE	49.49	0
401156504	MAXLTE4 25IN EXP SPINNER BROWN	75.2	0
401156505	MAXLTE 4 25IN EXP SPINNER GREY	75.2	0
401156506	ML 4 25IN EXP SPINNER SLT GRN	75.2	0
401156507	MAXLTE 4 25IN EXP SPINNER PINK	75.2	0
401156508	MAXLTE 4 25IN EXP SPINNER RED	75.2	0
401156528	MAXLTE 4 25IN EXP SPINNER MGT	75.2	0
401156532	MAXLTE 4 25IN EXP SPINNER PURP	75.2	50
401156532L	MAXLTE 4 25IN EXP SPINNER PURP	49.49	0
401156542	ML4 25IN EXP SPNR SHADOW GREY	75.2	0
4011567L02	MAXLTE 4 55CM CARRYON SPIN BL	44.37	0
401156901	MAXLTE 4 29IN EXP SPINNER BLK	84.6	0
401156901L	MAXLTE 4 29IN EXP SPINNER BLK	54.32	0
401156902	MAXLTE 4 29IN EXP SPINNER BLUE	84.6	50
401156902L	MAXLTE 4 29IN EXP SPINNER BLUE	54.32	0
401156904	MAXLTE4 29IN EXP SPINNER BROWN	84.6	0
401156905	MAXLTE 4 29IN EXP SPINNER GREY	84.6	0
401156906	ML4 29IN EXP SPNR SLATE GREEN	84.6	0
401156907	MAXLTE 4 29IN EXP SPINNER PINK	84.6	0
401156908	MAXLTE 4 29IN EXP SPINNER RED	84.6	0
401156932	MAXLTE 4 29IN EXP SPINNER PURP	84.6	50
401156932L	MAXLTE 4 29IN EXP SPINNER PURP	54.32	0
401157301	M4 CARRYON ROLL DUFFLE BLACK	56.4	0
401157302	M4 CARRYON ROLL DUFFLE BLUE	56.4	0
401157306	M4 CARRYON ROL DUFFLE SLT GRN	56.4	0
401157328	M4 CARRYON ROLL DUFFLE MGT	56.4	0
401157701	ML 4 COMPACT CARRYON SPIN BLK	24.3	0
401157702	ML 4 COMPACT CARRYON SPIN BLUE	24.3	0
401157708	ML 4 COMPACT CARRYON SPIN RED	24.3	0
401158301	ML 4 COMPACT BOARDING BAG BLK	35.75	0
401158302	ML 4 COMPACT BOARDING BAG BLUE	35.75	0
401158308	ML 4 COMPACT BOARDING BAG RED	35.75	0
401159101	ML4 21IN EX HRDSID SPNR BK/GR	70.5	0
401159165	ML4 21IN EX HRDSID SPNR DK PUR	70.5	0
4011591L01	ML4 21IN EX HRDSID SPNR BK/GR	44.34	0
4011591L65	ML4 21IN EX HRDSID SPNR DK PUR	44.34	0
401159501	MX4 25IN EX HRDSID SPNR BK/GR	84.6	0
401159565	MX4 25IN EX HRDSID SPNR DK PUR	84.6	0
4011595L01	MX4 25IN EX HRDSID SPNR BK/GR	51.95	0
4011595L65	MX4 25IN EX HRDSID SPNR DK PUR	51.95	0
401159901	MX4 29IN EX HRDSID SPNR BK/GR	94	0
401159965	MX4 29IN EX HRDSID SPNR DK PUR	94	0
4011599L01	MX4 29IN EX HRDSID SPNR BK/GR	60.17	0
4011599L65	MX4 29IN EX HRDSID SPNR DK PUR	60.17	0
401170001	MAXLITE 5 LADIES BP BLACK	47	50
401170006	MAXLITE 5 LADIES BP SL GRN	47	50
401170007	MAXLITE 5 LADIES BP DUSTY ROSE	47	50
401170301	MAXLTE 5 SOFT TOTE BLACK	32.9	50
401170306	MAXLTE 5 SOFT TOTE SLATE GREEN	32.9	50
401170307	MAXLTE 5 SOFT TOTE DUSTY ROSE	32.9	0
401170327	MAXLTE 5 SOFT TOTE AZURE BLUE	32.9	50
401170601	MAXLITE 5 LAPTOP BP BLK	47	50
401170606	MAXLITE 5 LAPTOP BP SLATE GRN	47	50
401171001	MAXLTE 5 BIFOLD HANG GARM BLK	47	50
401171001L	MAXLTE 5 BIFOLD HANG GARM BLK	32.03	0
401171301	MAXLTE 5 ROLLING TOTE BLACK	47	50
401171301L	MAXLTE 5 ROLLING TOTE BLACK	29.88	0
401171327	MAXLTE 5 ROLL TOTE AZURE BLUE	47	50
401171327L	MAXLTE 5 ROLL TOTE AZURE BLUE	29.88	0
401171401	MAXLITE 5 LADIES TOTE BLACK	47	50
401171406	MAXLITE 5 LADIES TOTE SL GRN	47	50
401171407	MAXLITE 5 LADIES TOTE DUS ROSE	47	50
401172201	MAXLTE 5 22IN EXP RLLBRD BLK	61.1	50
401172201L	MAXLTE 5 22IN EXP RLLBRD BLK	36.6	0
401172204	MAXLTE 5 22IN EXP RLBD BROWN	61.1	0
401172206	MAXLTE 5 22IN EX RLBD SL GREEN	61.1	50
401172206L	MAXLTE 5 22IN EX RLBD SL GREEN	36.6	0
401172207	MAXLTE 5 22IN EX RLBD DUS ROSE	61.1	50
401172207L	MAXLTE 5 22IN EX RLBD DUS ROSE	36.6	0
401172227	MAXLTE 5 22IN EX RLBD AZUR BLU	61.1	50
401172227L	MAXLTE 5 22IN EX RLBD AZUR BLU	36.6	0
401172601	MAXLTE 5 26IN EXP RLLBRD BLK	75.2	50
401172601L	MAXLTE 5 26IN EXP RLLBRD BLK	45.77	0
401172606	MAXLTE 5 26IN EX RLBD SL GREEN	75.2	50
401172606L	MAXLTE 5 26IN EX RLBD SL GREEN	45.77	0
401172607L	MAXLTE 5 26IN EX RLBD DUS ROSE	45.77	0
401172627	MAXLTE 5 26IN EX RLBD AZUR BLU	75.2	50
401172627L	MAXLTE 5 26IN EX RLBD AZUR BLU	45.77	0
401172A02	MAXLITE 5 BREAKAWAY MID BLUE	150.4	0
401172A06	MAXLITE 5 BREAKAWAY SL GREEN	150.4	0
401172B01	MAXLITE 5 BREAKAWAY BLACK	141	0
401172C01	MAXLITE 5 CARRY ME AWAY BLACK	98.7	0
401172C02	MXL 5 CARRY ME AWAY MID BLUE	98.7	0
401172D01	MAXLITE 5 FASHIONISTA BLACK	112.8	0
401172D02	MAXLITE 5 FASHIONISTA MID BLUE	112.8	0
401172D06	MAXLITE 5 FASHIONISTA SL GREEN	112.8	0
401172D07	MAXLITE 5 FASHIONISTA DUS ROSE	112.8	0
401172E01	MAXLITE 5 IN CONTROL BLACK	112.8	0
401172E06	MAXLITE 5 IN CONTROL SL GREEN	112.8	0
401172E07	MAXLITE 5 IN CONTROL DUS ROSE	112.8	0
401172F01	MAXLTE 5 ON THE GO BLACK	108.1	0
401172F02	MAXLTE 5 ON THE GO MID BLUE	108.1	0
401173A01	MXL 5 FLOATING ON AIR BLACK	225.6	50
401173A02	MXL 5 FLOATING ON AIR MID BLUE	225.6	0
401174001	MAXLTE 5 C/O ROLL GARM BAG BLK	89.3	50
401174301	MAXLTE 5 INTL C/O RB BLACK	61.1	50
401174301L	MAXLTE 5 INTL C/O RB BLACK	36.52	0
401174306	MAXLTE 5 INTL C/O RB SLATE GRN	61.1	50
401174306L	MAXLTE 5 INTL C/O RB SLATE GRN	36.52	0
401174307	MAXLTE 5 INTL C/O RB DUS ROSE	61.1	50
401174307L	MAXLTE 5 INTL C/O RB DUS ROSE	36.52	0
401174327	MAXLTE 5 INTL C/O RB AZUR BLUE	61.1	50
401174327L	MAXLTE 5 INTL C/O RB AZUR BLUE	36.52	0
401175401L	MAXLTE 5 31IN EXP SPINNER BLK	59.62	0
401175427L	MAXLTE 5 31IN EXP SPINR AZR BL	59.62	0
401176101	MAXLTE 5 21IN EXP SPINNER BLK	65.8	50
401176101L	MAXLTE 5 21IN EXP SPINNER BLK	43.28	0
401176104	MAXLTE 5 21IN EXP SPINR BROWN	65.8	0
401176106	MAXLTE 5 21IN EX SPNR SL GREEN	65.8	50
401176106L	MAXLTE 5 21IN EX SPNR SL GREEN	43.28	0
401176107	MAXLTE 5 21IN EX SPNR DUS ROSE	65.8	50
